Axis_0,Axis_1,P_PHYLO_RPE2_CANAPE_SIG
950000,150000,Not Sig
950000,250000,Not Sig
950000,2550000,Not Sig
950000,2650000,Not Sig
950000,2850000,Not Sig
950000,2950000,Not Sig
950000,3350000,Not Sig
950000,3450000,Not Sig
950000,350000,Not Sig
950000,3550000,Not Sig
950000,3650000,Not Sig
950000,4250000,Not Sig
950000,4450000,Not Sig
950000,450000,Not Sig
950000,50000,Not Sig
950000,550000,Not Sig
950000,750000,Not Sig
950000,850000,Not Sig
950000,950000,Not Sig
